JournalIndex,JournalLabel
113,Acta Sociologica
114,American Journal of Sociology
115,American Political Science Review
116,Armed Forces & Society
117,Asian Economic Papers
118,Asian Perspective
119,Asian Security
120,Asian Survey
121,Behavioral Science
122,Berkeley Undergraduate Journal
123,British Journal of Political Science
124,Canadian Journal of Political Science/Revue canadienne de science politique
125,Communist and Post-Communist Studies
126,Communist and Post-communist Studies - COMMUNIST POST-COMMUNIST STUD
127,Comparative Politics
128,Contemporary Politics
129,Contemporary Sociology
130,Contemporary Southeast Asia
131,Democratization
132,European Journal of Political Research
133,European Political Science
134,Foreign Affairs
135,Foreign Policy
136,Global Asia
137,International Advances in Economic Research
138,"International Journal of Politics, Culture, and Society"
139,International Labor and Working-Class History
140,International Organization
141,International Security
142,Issues & Studies
143,Journal of Asian Studies - J ASIAN STUD
144,Journal of Asian and African Studies
145,Journal of Contemporary Asia - J CONTEMP ASIA
146,Journal of East Asian Studies
147,Journal of Economic Integration
148,Journal of Economic Perspectives
149,Journal of International Affairs
150,Journal of International and Area Studies
151,Journal of Political & Military Sociology
152,Journal of Third World Studies
153,Korean Studies
154,Millennium
155,Modern China
156,New Left Review
157,North Korean Review
158,Nuncius
159,Pacific Affairs
160,Perspectives on Politics
161,Political Theory
162,Politics and the Life Sciences
163,Science & Society
164,Slavic Review
165,Soviet Studies
166,Studies in Comparative Communism
167,Systems Research and Behavioral Science
168,Systems practice
169,The ANNALS of the American Academy of Political and Social Science
170,The Academy of Management Journal
171,The American Historical Review
172,The American Political Science Review
173,The China Quarterly
174,The Independent Review
175,The Journal of Asian Studies
176,The Journal of East Asian Affairs
177,The Journal of Korean Studies (1979-)
178,The Journal of Politics
179,The Nonproliferation Review
180,The Oral History Review
181,The Slavonic and East European Review
182,Third World Quarterly
183,World Politics
184,"… . Washington, DC, Korea Economic Institute of …"
