AuthorNodeID,JournalNodeID,edgeweight
0,603,1
16,603,1
430,603,1
430,586,1
446,603,1
1,549,1
58,549,1
58,550,1
58,568,1
58,790,1
111,549,1
124,549,1
215,549,1
242,549,2
245,549,1
283,549,1
376,549,1
419,549,1
425,549,1
450,549,1
457,549,1
484,549,1
2,637,1
3,551,1
4,648,1
5,529,1
239,529,1
436,529,1
6,831,1
7,745,1
160,745,1
160,660,1
160,768,1
160,880,1
8,851,1
9,658,1
10,587,1
11,663,1
56,663,1
81,663,1
204,663,1
12,726,1
214,726,1
13,693,1
14,666,1
26,666,1
26,550,1
26,827,1
32,666,1
15,545,1
19,545,1
20,545,1
21,545,1
35,545,1
110,545,1
123,545,1
123,584,0
126,545,1
153,545,1
243,545,1
319,545,1
323,545,1
332,545,1
345,545,1
375,545,1
377,545,1
462,545,1
17,812,1
324,812,1
371,812,1
18,569,1
79,569,1
180,569,1
373,569,1
420,569,1
420,771,1
432,569,1
442,569,1
443,569,1
22,639,1
177,639,1
409,639,1
23,550,1
31,550,1
59,550,1
90,550,1
253,550,1
253,843,1
382,550,1
389,550,1
389,691,1
24,805,1
25,804,1
27,548,1
28,563,1
52,563,1
85,563,1
94,563,1
141,563,1
201,563,1
220,563,1
221,563,1
270,563,1
273,563,1
281,563,1
281,701,1
399,563,1
399,600,1
399,605,1
29,619,1
30,682,1
33,537,1
107,537,1
108,537,1
161,537,1
336,537,1
379,537,1
379,828,1
34,837,1
36,613,1
139,613,1
37,824,1
38,758,1
118,758,1
39,680,1
39,799,1
40,799,1
45,799,1
62,799,1
93,799,1
98,799,1
138,799,1
171,799,1
195,799,2
256,799,1
294,799,1
295,799,1
310,799,1
310,756,1
312,799,1
314,799,1
326,799,1
473,799,1
41,572,1
42,593,1
429,593,1
43,847,1
441,847,1
44,759,1
44,798,1
219,798,1
244,798,1
291,798,1
327,798,1
475,798,1
46,723,1
109,723,1
416,723,1
47,687,1
48,820,1
49,820,1
252,820,1
311,820,1
311,681,1
311,800,1
318,820,1
447,820,1
50,581,1
51,609,1
205,609,1
331,609,1
378,609,1
407,609,1
53,664,1
181,664,1
54,585,1
54,638,1
55,838,1
303,838,1
57,710,1
222,710,1
134,568,1
412,790,1
453,790,1
60,734,1
61,852,1
63,547,1
164,547,1
260,547,1
260,624,1
260,626,1
284,547,1
360,547,1
392,547,1
427,547,1
64,557,1
65,561,1
66,561,1
347,561,1
347,677,1
347,709,1
347,875,1
400,561,1
67,599,1
179,599,1
179,654,1
398,599,1
68,567,1
69,699,1
69,715,1
136,699,1
230,699,1
233,699,1
70,646,1
71,642,1
72,655,1
73,810,1
74,791,1
75,809,1
383,809,1
76,652,1
77,730,1
78,751,1
80,766,1
82,701,1
140,701,1
176,701,1
191,701,1
193,701,1
83,614,1
84,763,1
86,776,1
87,640,1
87,681,1
290,640,1
293,681,1
467,681,1
88,753,1
89,769,1
89,840,1
338,769,1
422,769,1
422,770,1
471,769,1
91,565,1
92,541,1
95,595,1
317,595,1
387,595,1
458,595,1
96,582,1
97,823,1
99,795,1
100,833,1
101,806,1
482,806,1
102,835,1
103,848,1
104,773,1
105,789,1
106,616,1
112,720,1
113,786,1
114,635,1
115,634,1
116,737,1
117,846,1
210,846,1
367,846,1
119,775,1
120,697,1
121,721,1
122,792,1
125,673,1
184,673,1
127,615,1
128,546,1
129,590,1
130,707,1
131,625,1
132,832,1
133,651,1
135,668,1
424,668,1
137,765,1
142,744,1
325,744,2
143,542,1
144,583,1
145,796,1
146,636,1
147,793,1
148,702,1
149,722,1
150,538,1
151,539,1
162,539,1
152,729,1
154,630,1
155,670,1
315,670,1
156,643,1
157,774,1
158,747,1
313,747,1
329,747,1
354,747,1
358,747,1
159,772,1
163,748,1
165,705,1
166,592,1
167,644,1
168,531,1
292,531,1
439,531,1
169,727,1
170,633,1
172,659,1
200,659,1
401,659,1
403,659,1
173,703,1
478,703,1
174,712,1
175,692,1
178,868,1
182,686,1
183,825,1
448,825,1
185,746,1
186,739,1
187,836,1
188,598,1
189,740,1
190,850,1
192,854,1
271,854,1
346,854,1
346,591,1
194,555,1
196,580,1
197,749,1
388,749,1
449,749,1
198,738,1
199,571,1
202,874,1
490,874,1
507,874,1
203,711,1
206,544,1
207,620,1
385,620,1
385,797,1
208,829,1
209,629,1
211,566,1
212,771,1
374,771,1
213,788,1
216,815,1
217,853,1
218,649,1
223,802,1
224,719,1
225,728,1
481,728,1
226,610,1
227,604,1
228,675,1
229,685,1
306,685,1
231,783,1
232,860,1
234,724,1
235,611,1
236,782,1
237,750,1
238,683,1
238,704,1
238,818,1
277,818,1
240,784,1
241,767,1
334,767,1
246,732,1
393,732,1
434,732,1
247,650,1
248,706,1
249,755,1
250,817,1
251,849,1
254,696,1
255,713,1
328,713,1
257,623,1
258,844,1
259,671,1
261,661,1
262,736,1
263,662,1
264,714,1
265,760,1
266,762,1
267,665,1
268,596,1
269,589,1
272,676,1
274,540,1
282,540,1
305,540,1
275,641,1
276,869,1
278,678,1
279,667,1
280,876,1
512,876,1
512,872,1
513,876,1
520,876,1
528,876,1
528,866,2
528,879,1
528,873,1
285,554,1
286,821,1
287,552,1
301,552,1
340,552,1
288,631,1
350,631,1
289,607,1
296,743,1
297,698,1
298,830,1
299,622,1
300,570,1
302,725,1
304,575,1
307,785,1
308,785,1
309,534,1
366,534,1
344,756,1
316,841,1
320,573,1
321,742,1
322,556,1
330,808,1
333,532,1
335,717,1
337,588,1
339,694,1
341,690,1
342,600,1
343,618,1
348,871,1
349,733,1
351,778,1
476,778,1
352,700,1
353,560,1
355,858,1
501,858,1
501,865,1
356,801,1
357,578,1
359,579,1
361,718,1
362,536,1
363,576,1
364,826,1
365,754,1
368,779,1
369,606,1
370,787,1
372,533,1
380,543,1
386,543,1
431,543,1
381,628,1
384,695,1
489,695,1
390,839,1
391,814,1
394,577,1
395,819,1
396,803,1
397,794,1
402,632,1
404,653,1
405,653,1
406,669,1
408,822,1
410,689,1
411,811,1
413,781,1
413,813,1
413,845,1
414,597,1
415,574,1
417,735,1
445,735,1
418,594,1
421,645,1
423,674,1
426,777,1
428,621,1
433,761,1
435,601,1
437,656,1
438,816,1
440,731,1
444,608,1
451,780,1
452,612,1
454,612,1
455,627,1
456,842,0
459,602,1
460,752,1
461,807,1
463,553,1
463,834,1
464,535,1
465,688,1
466,672,1
466,684,1
468,757,1
469,564,1
470,558,1
472,764,1
474,562,1
477,559,1
479,647,1
480,716,1
483,679,1
485,862,1
486,862,1
487,862,1
488,872,1
491,872,1
500,872,1
500,863,1
503,872,1
519,872,1
522,872,1
524,872,1
492,657,1
493,863,1
508,863,1
527,863,1
494,617,1
494,864,1
495,866,1
495,879,1
497,866,1
505,879,1
496,530,1
498,855,1
499,708,1
514,865,2
502,861,1
504,857,1
506,877,1
510,877,1
511,877,1
509,870,1
515,859,1
516,859,1
517,859,1
518,856,1
523,856,1
521,741,1
525,878,1
526,867,1
